measureId,stratumName,shortDescription,longDescription,initialPopulationUuid,denominatorUuid,numeratorUuid,denominatorExclusionUUID,denominatorExceptionUUID
305,14DaysOfDiagnosis,Patients who initiated treatment within 14 days of the diagnosis,Patients who initiated treatment within 14 days of the diagnosis,,,,,
305,30DaysOfVisit,Patients who initiated treatment and who had two or more additional services with an AOD diagnosis within 30 days of the initiation visit,Patients who initiated treatment and who had two or more additional services with an AOD diagnosis within 30 days of the initiation visit,,,,,
348,30,Implantable Cardioverter-Defibrillator complications or mortality at 30 days,Complications or mortality at 30 days,,,,,
348,90,Implantable Cardioverter-Defibrillator complications at 90 days,Complications at 90 days,,,,,
366,visitWithin30Days,Percentage of children who had one follow-up visit with a practitioner with prescribing authority during the 30-Day Initiation Phase.,Percentage of children who had one follow-up visit with a practitioner with prescribing authority during the 30-Day Initiation Phase.,,,,,
366,visitAndFollowups,"Percentage of children who remained on ADHD medication for at least 210 days and who, in addition to the visit in the Initiation Phase, had at least two additional follow-up visits with a practitioner within 270 days (9 months) after the Initiation Phase ended.","Percentage of children who remained on ADHD medication for at least 210 days and who, in addition to the visit in the Initiation Phase, had at least two additional follow-up visits with a practitioner within 270 days (9 months) after the Initiation Phase ended.",,,,,
371,4MonthsOfEnd,"Office visit, Psych visit, or Face to Face Interaction (No ED) within 4 months of the end of the measurement period that leads to a diagnosis of major depression including remission or dysthymia","Office visit, Psych visit, or Face to Face Interaction (No ED) within 4 months of the end of the measurement period that leads to a diagnosis of major depression including remission or dysthymia",,,,,
371,4&8MonthsAfterStart,"Office visit, Psych visit, or Face to Face Interaction (No ED) between 4 and 8 months after the start of the measurement period that leads to a diagnosis of major depression including remission or dysthymia","Office visit, Psych visit, or Face to Face Interaction (No ED) between 4 and 8 months after the start of the measurement period that leads to a diagnosis of major depression including remission or dysthymia",,,,,
371,4MonthsOfStart,"Office visit, Psych visit, or Face to Face Interaction (No ED) within 4 months of the start of the measurement period that leads to a diagnosis of major depression including remission or dysthymia","Office visit, Psych visit, or Face to Face Interaction (No ED) within 4 months of the start of the measurement period that leads to a diagnosis of major depression including remission or dysthymia",,,,,
391,30days,Discharges received follow up 30 days,The percentage of discharges for which the patient received follow-up within 30 days after discharge,,,,,
391,overall,Discharges received follow up 7 days,The percentage of discharges for which the patient received follow-up within 7 days after discharge,,,,,
392,18-64F,Cardiac tamponade/pericardiocentesis females 18-64 years,Females 18-64 years of age,,,,,
392,18-64M,Cardiac tamponade/pericardiocentesis males 18-64 years,Males 18-64 years of age,,,,,
392,65+F,Cardiac tamponade/pericardiocentesis females 65 years and older,Females 65 years of age and older,,,,,
392,65+M,Cardiac tamponade/pericardiocentesis males 65 years and older,Males 65 years of age and older ,,,,,
392,overall,Overall cardiac tamponade/pericardiocentesis female and males 18 years and older,Overall percentage of patients with cardiac tamponade and/or pericardiocentesis occurring within 30 days,,,,,
394,meningococcal,One dose of meningococcal vaccine,Patients who had one dose of meningococcal vaccine on or between the patient�s 11th and 13th birthdays,,,,,
394,Tdap,"One tetanus, diphtheria toxoids and acellular pertussis vaccine","Patients who had one tetanus, diphtheria toxoids and acellular pertussis vaccine (Tdap) on or between the patient�s 10th and 13th birthdays",,,,,
394,HPV,Completed the HPV vaccine ,Patients who have completed the HPV vaccine with defferent dates of service on or between the patient's 9th and 13th birthdays,,,,,
394,overall,"Compliant for Meningococcal, Tdap and HPV","All patients who are compliant for Meningococcal, Tdap and HPV during the specified timeframes",,,,,
398,overall,"5-50 years well-controlled asthma, without elevated risk of exacerbation","Overall Percentage for patients (aged 5-50 years) with well-controlled asthma, without elevated risk of exacerbation",,,,,
398,5-17,"5-17 years well-controlled asthma, without elevated risk of exacerbation","Percentage of pediatric patients (aged 5-17 years) with well-controlled asthma, without elevated risk of exacerbation.",,,,,
398,18-50,"18-50 years well-controlled asthma, without elevated risk of exacerbation","Percentage of adult patients (aged 18-50 years) with well-controlled asthma, without elevated risk of exacerbation",,,,,
398,ACT5-17,5 to 17 asthma well-controlled specified asthma control tool result,Asthma well-controlled (submit the most recent specified asthma control tool result) for patients 5 to 17 with Asthma,,,,,
398,ACT18-50,18 to 50 asthma well-controlled specified asthma control tool result,Asthma well-controlled (submit the most recent specified asthma control tool result) for patients 18 to 50 with Asthma ,,,,,
398,lowRisk5-17,5 to 17 with asthma elevated risk of exacerbation,Patient not at elevated risk of exacerbation for patients 5 to 17 with Asthma,,,,,
398,lowRisk18-50,18 to 50 with asthma elevated risk of exacerbation,Patient not at elevated risk of exacerbation for patients 18 to 50 with Asthma,,,,,
411,12-17,The percentage of adolescent patients 12 to 17 years of age with major depression or dysthymia who reached remission six months (+/- 60 days) after an index event date,,,,,,
411,18+,The percentage of  adult patients 18 years of age or older with major depression or dysthymia who reached remission six months (+/- 60 days) after an index event date,,,,,,
467,<1,"Birth to 1 year of age) who were screened for risk of developmental, behavioral and social delays using a standardized tool","Children in the eligible population who turned 1 during the performance period. (Birth to 1 year of age) who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday",,,,,
467,1-2,"Children >1 to 2 who were screened for risk of developmental, behavioral and social delays using a standardized tool","Children in the eligible population who turned 2 during the performance period (> 1 year to 2 years of age) who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday",,,,,
467,2-3,"Children >2 to 3 who were screened for risk of developmental, behavioral and social delays using a standardized tool","Children in the eligible population who turned 3 during the performance period ( > 2 years to 3 years of age) who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday",,,,,
467,overall,"Total Performance Rate based on all children who turned 1, 2, or 3 during the performance period who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday, i.e., the sum of denominators 1, 2, and 3.","Total Performance Rate based on all children who turned 1, 2, or 3 during the performance period who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday, i.e., the sum of denominators 1, 2, and 3.",,,,,
370,12-17,"Percentage of adolescent patients (aged 12-17 years) with a diagnosis of major depression or dysthymia and an
initial PHQ-9 or PHQ-9M score greater than nine during the index event who reached remission at twelve
months as demonstrated by a twelve month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5.",,,,,,
370,18+,"Percentage of adult patients (aged 18 years or older) with a diagnosis of major depression or dysthymia and an
initial PHQ-9 or PHQ-9M score greater than nine during the index event who reached remission at twelve
months as demonstrated by a twelve month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5.",,,,,,
